"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28"
"Agradecemos el apoyo recibido para llevar a cabo la campaña Sin Ruido de Fondo el pasado 30 de abril. ¡Sin ustedes no hubiera sido posible! 👏🏻

@telemedellin 
@davalho 
@udemedellin 
@agrobusinessgroup 
@memoriascoffee 
@prssaudemcolombia 
@laromeracorporacion 
@cafeamantti 
@periodicoelparamo 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #ContaminacionSonora #MedellinSinRuido #ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COoCUNjBL2P/","1","","21","2021-05-08T20:34:51.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"Falta tan solo 1 hora para la campaña Sin Ruido de Fondo, con la que te cuidas y cuidas a los demás. 🔇

¡Únete! 

@udemedellin 
@personeriamed 
@davalho 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COTtBLLMgXF/","0","","16","2021-04-30T23:03:56.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"Tenemos una cita hoy a las 7:00 p.m. Dejaremos que suene el silencio durante 1 minuto. 🔇‼️

¡Acompáñanos!

@udemedellin 
@personeriamed 
@davalho 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COTDL-XMRU6/","0","","22","2021-04-30T16:58:24.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"¡Juntos somos el cambio que necesitamos! 💪🏻🔇

@udemedellin 
@personeriamed 
@davalho 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/CORa3tfMlfD/","0","","14","2021-04-30T01:46:52.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"Súmate a la conmemoración internacional de la conciencia sobre el ruido. Intenta disminuir el ruido excesivo este 30 de abril. ¡Celebremos este día con paz y tranquilidad auditiva! ‼️🔇 

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/CORPla-slzC/","0","","12","2021-04-30T00:08:15.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"Únete a la campaña Sin Ruido de Fondo, que se llevará a cabo mañana 30 de abril, a las 7pm. 🔇

¡Acompáñanos! 

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COQ_W5aMeSh/","1","","14","2021-04-29T21:46:28.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"La pérdida de audición ocurre cuando se reduce su capacidad de oír. Una pérdida de audición dificulta que escuche conversaciones y otros sonidos. Las causas más comunes de pérdida auditiva son el ruido y el envejecimiento. 🦻🔉👴

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COQh5OoHwuW/","0","","19","2021-04-29T17:29:56.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"y haz parte de a ella, este 30 de abril. 🔇👏🏻

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental

@telemedellin 
@udemedellin 
@davalho
@personeriamed","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COO2MBZniRZ/","0","","15","2021-04-29T01:49:35.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"Son muchos los efectos negativos que deja en nuestra salud el exceso de ruido. Te invitamos a decirle NO al ruido este 30 de abril. 🔇🤫

¡Acompáñanos!

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #ContaminacionSonora #MedellinSinRuido #ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COOivXIBVGY/","0","","11","2021-04-28T22:57:55.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"El oído es uno de los órganos de los sentidos altamente conectados con la comunicación, es de vital importancia para las relaciones interpersonales y de aprendizaje. 👂🔉

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021#ContaminacionSonora#MedellinSinRuido#ContaminacionAmbiental","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/CON1PDNsUfH/","0","","14","2021-04-28T16:20:17.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido","ContaminacionAmbiental",,,,,,,,,,,,,,,,,,,,,,,
"En ambientes industriales el ruido es producido por la maquinaria y generalmente aumenta con la potencia de las máquinas. Este ruido puede contener predominantemente bajas y altas frecuencias, componentes tonales, ser impulsivo o tener patrones temporales desagradables y disruptivos.‼️

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinRuido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COMRIXphTgv/","0","","16","2021-04-28T01:45:53.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinRuido",,,,,,,,,,,,,,,,,,,,,,,,,
"#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinRuido 

Son muchos los efectos negativos que deja en nuestra salud el exceso de ruido. 

Dígale NO al ruido, así:

- Controla tu tono de voz
- Usa un volumen moderado en los aparatos electrónicos
- No utilices el claxon del coche a excepción de una emergencia

La contaminación auditiva reduce nuestra calidad de vida. Por eso cuídate y cuida a los demás. 

¡Disminuye tu ruido!","Periódico El Páramo","periodicoelparamo","https://www.instagram.com/p/COMODMaAGdi/","0","","1","2021-04-28T01:18:39.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinRuido",,,,,,,,,,,,,,,,,,,,,,,,,
"Cuídate y cuida a los demás. ¡Juntos podemos lograrlo!🤝

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #ContaminacionAmbiental #SaludAuditiva #ContaminacionSonora #MedellinSinRuido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COLvf0EMv7o/","0","","17","2021-04-27T20:51:40.000Z",,"SinRuidodeFondo","ContaminacionAmbiental","SaludAuditiva","ContaminacionSonora","MedellinSinRuido",,,,,,,,,,,,,,,,,,,,,,,,
"📢Esta semana la Clínica Jurídica de Interés Público, la Universidad de Medellín @UdeMedellin_ y la Mesa de Ruido, con apoyo de la Personería de Medellín @personeriamed y el concejal Daniel Carvalho @davalho promueven la campaña #SinRuidodeFondo ¡Acompáñanos! 

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinRuido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COLQqHNnB7N/","0","","16","2021-04-27T16:23:57.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinRuido",,,,,,,,,,,,,,,,,,,,,,,,,
"Con tu ayuda podemos mejorar la problemática del ruido en la cuidad de Medellín. Únete a la campaña #SinRuidodeFondo, nuestra ciudad necesita un ambiente de paz. 🔇🤫

¡Acompáñanos este próximo viernes!

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #ContaminacionAmbiental #SaludAuditiva #SRDF2021 #ContaminacionSonora #MedellinSinRuido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COIw_DCsDkR/","0","","20","2021-04-26T17:06:57.000Z",,"SinRuidodeFondo,","SinRuidodeFondo","ContaminacionAmbiental","SaludAuditiva","SRDF2021","ContaminacionSonora","MedellinSinRuido",,,,,,,,,,,,,,,,,,,,,,
"Si tu salud deseas cuidar, al sonido le debes bajar🔈🤫. Unidos podemos tener un ambiente sano y tranquilo💆🏻‍♀️

¡Acompáñanos este 30 de abril!

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinRuido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COG8LamB1Ci/","0","","23","2021-04-26T00:06:17.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinRuido",,,,,,,,,,,,,,,,,,,,,,,,,
"Súmate a la conmemoración internacional de la conciencia sobre el ruido📢. Intenta disminuir el ruido excesivo este 30 de abril ¡Celebremos este día con paz y tranquilidad auditiva!😌✅ 

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinruido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/COB1hruhtIU/","0","","20","2021-04-24T00:31:57.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinruido",,,,,,,,,,,,,,,,,,,,,,,,,
"La contaminación auditiva reduce nuestra calidad de vida⬇️. Por eso cuídate y cuida a los demás. ¡Disminuye tu ruido!🤫👉🏻🔇

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinruido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/CN-dBbFBxZm/","0","","18","2021-04-22T17:00:06.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinruido",,,,,,,,,,,,,,,,,,,,,,,,,
"La contaminación auditiva es el exceso de sonido producido por las distintas actividades que realizamos en la cotidianidad, causados comúnmente por el tráfico🚙, la música muy alta🎶, las aglomeraciones de personas👨‍👩‍👧‍👦, entre otros. Esta tiene efectos negativos en nuestra salud 
auditiva, física y mental.👂🏼🧠🧍🏻‍♂️

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinruido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/CN5wj_rBYO2/","0","","32","2021-04-20T21:14:39.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinruido",,,,,,,,,,,,,,,,,,,,,,,,,
"Ahora que sabes esto, protégete y protege a los demás. Recuerda que el ruido también contamina, por eso bájale un poco🔊🔉🔈

@personeriamed 
@davalho 
@udemedellin 

#SinRuidodeFondo #SaludAuditiva #SRDF2021 #MedellinSinruido","Clínica Jurídica","clinicainteresp","https://www.instagram.com/p/CN5FD21Bov7/","0","","16","2021-04-20T14:54:31.000Z",,"SinRuidodeFondo","SaludAuditiva","SRDF2021","MedellinSinruido",,,,,,,,,,,,,,,,,,,,,,,,,
"¡Misión cumplida! 🌴en estos @carnavales2026,  No solo movilizamos personas, conectamos experiencias. Este Carnaval recibimos a más de 800 viajeros de diferentes agencias turística a nivel nacional, demostrando por qué somos la alianza 🤝 turística número uno de isla larga 🌊
​¿Nuestra clave? La precisión:
✅ Traslados marítimos 🚤 con máxima seguridad.
✅ Desayunos y almuerzos servidos con puntualidad exacta.
✅ Un equipo comprometido con el sentido de responsabilidad.
​Gracias a cada agencia aliada y a cada turista por confiar en nuestra logística. 

¡Seguimos demostrando que somos la mejor opción en alianzas turísticas! 🤝✨

Gracias por visitarnos @caramelotoursoficial

​#TurismoResponsable #LogisticaTuristica #Carnavales2026 #AlianzaTuristica","Islalarga_tour / operadores turísticos","islalarga_tour","https://www.instagram.com/p/DVHmEorDeQT/","1","","2","2026-02-23T23:21:20.000Z",,"TurismoResponsable","LogisticaTuristica","Carnavales2026","AlianzaTuristica",,,,,,,,,,,,,,,,,,,,,,,,,
"¡Misión cumplida! 🌴en estos @carnavales2026,  No solo movilizamos personas, conectamos experiencias. Este Carnaval recibimos a más de 800 viajeros de diferentes agencias turística a nivel nacional, demostrando por qué somos la alianza 🤝 turística número uno de isla larga 🌊
​¿Nuestra clave? La precisión:
✅ Traslados marítimos 🚤 con máxima seguridad.
✅ Desayunos y almuerzos servidos con puntualidad exacta.
✅ Un equipo comprometido con el sentido de responsabilidad.
​Gracias a cada agencia aliada y a cada turista por confiar en nuestra logística. 

¡Seguimos demostrando que somos la mejor opción en alianzas turísticas! 🤝✨

Gracias por visitarnos @viajaxvenezuela

​#TurismoResponsable #LogisticaTuristica #Carnavales2026 #AlianzaTuristica","Islalarga_tour / operadores turísticos","islalarga_tour","https://www.instagram.com/p/DVHllDKjZ0N/","0","","4","2026-02-23T23:17:01.000Z",,"TurismoResponsable","LogisticaTuristica","Carnavales2026","AlianzaTuristica",,,,,,,,,,,,,,,,,,,,,,,,,
"¡Misión cumplida! 🌴en estos @carnavales2026,  No solo movilizamos personas, conectamos experiencias. Este Carnaval recibimos a más de 800 viajeros de diferentes agencias turística a nivel nacional, demostrando por qué somos la alianza 🤝 turística número uno de isla larga 🌊
​¿Nuestra clave? La precisión:
✅ Traslados marítimos 🚤 con máxima seguridad.
✅ Desayunos y almuerzos servidos con puntualidad exacta.
✅ Un equipo comprometido con el sentido de responsabilidad.
​Gracias a cada agencia aliada y a cada turista por confiar en nuestra logística.

 ¡Seguimos demostrando que somos la mejor opción en alianzas turísticas! 🤝✨

Gracias por visitarnos @divinaspizzascoche

​#TurismoResponsable #LogisticaTuristica #Carnavales2026 #AlianzaTuristica #Divinas","Islalarga_tour / operadores turísticos","islalarga_tour","https://www.instagram.com/p/DVHlLBHDXsE/","0","","2","2026-02-23T23:13:28.000Z",,"TurismoResponsable","LogisticaTuristica","Carnavales2026","AlianzaTuristica","Divinas",,,,,,,,,,,,,,,,,,,,,,,,
"¡Misión cumplida! 🌴en estos @carnavales2026,  No solo movilizamos personas, conectamos experiencias. Este Carnaval recibimos a más de 800 viajeros de diferentes agencias turística a nivel nacional, demostrando por qué somos la alianza 🤝 turística número uno de isla larga 🌊
​¿Nuestra clave? La precisión:
✅ Traslados marítimos 🚤 con máxima seguridad.
✅ Desayunos y almuerzos servidos con puntualidad exacta.
✅ Un equipo comprometido con el sentido de responsabilidad.
​Gracias a cada agencia aliada y a cada turista por confiar en nuestra logística. 

¡Seguimos demostrando que somos la mejor opción en alianzas turísticas! 🤝✨

Gracias por visitarnos  @viajerosxvenezuela desde Acarigua Estado portuguesa.

​#TurismoResponsable #LogisticaTuristica #Carnavales2026 #AlianzaTuristica","Islalarga_tour / operadores turísticos","islalarga_tour","https://www.instagram.com/p/DVHkwocDZQM/","0","","3","2026-02-23T23:09:52.000Z",,"TurismoResponsable","LogisticaTuristica","Carnavales2026","AlianzaTuristica",,,,,,,,,,,,,,,,,,,,,,,,,
"NOS ENCONTRAMOS DE GIRA PROMOCIONANDO A CHIAPAS.
Más que un viaje, te ofrecemos la certeza de un acompañamiento profesional en cada paso. En la gira promocional, destacamos a Chiapas como un destino vibrante y seguro para el viajero. En Nucú Travel Adventure, diseñamos cada ruta bajo estrictos estándares de seguridad y acompañamiento constante. Sabemos que la confianza es la base de cada aventura; por eso, nos encargamos de que tu viaje sea tan seguro como inolvidable. ¡El paraíso te espera y nosotros te llevamos con total garantía!
#ChiapasSeguro #NucuTravelAdventure #TurismoResponsable #ViajaConConfianza #ExploraChiapas","Nucú Travel","nucutravel","https://www.instagram.com/p/DVHh8xzEytw/","0","","1","2026-02-23T22:45:19.000Z",,"ChiapasSeguro","NucuTravelAdventure","TurismoResponsable","ViajaConConfianza","ExploraChiapas",,,,,,,,,,,,,,,,,,,,,,,,
"Cinco cosas que aprendí sobre los elefantes 🐘 

1️⃣ Tienen una memoria increíble (no sólo para sobrevivir):

Pueden recordar rutas, fuentes de agua y rostros durante años. Pero lo más impresionante es que también recuerdan experiencias emocionales.

⚡️Ellos no olvidan, pero tampoco viven anclados al pasado. Siguen caminando en grupo.

2️⃣ Viven en comunidades lideradas por la experiencia: 

Las manadas están dirigidas por una hembra mayor, la matriarca. No lidera por fuerza, sino por sabiduría y memoria.

⚡️La sabiduría también es liderazgo.

3️⃣ Se cuidan y protegen entre ellos:

Cuando un elefante está herido o triste, los demás lo rodean, lo tocan con la trompa y permanecen cerca.

⚡️No lo “arreglan”, No lo acosan.
Simplemente están.

4️⃣ Se comunican en frecuencias que no siempre oímos:

Pueden comunicarse a kilómetros de distancia por sonidos de baja frecuencia que nosotros no percibimos.

⚡️No todo lo importante es visible ni perceptible. La intuición también es una forma de comunicación.

5️⃣ Su paso transforma el entorno:

Cuando caminan, abren senderos en la selva, dispersan semillas y crean espacios donde otras especies pueden crecer.

⚡️La verdadera fuerza no es dominar. Es cuidar. No es explotar. Es respetar.

* En los santuarios éticos los elefantes están en su hábitat natural, no son forzados. Están diseñados para su rescate y rehabilitación, priorizando su bienestar sobre el entretenimiento turístico.

#SantuarioÉtico #ElefantesDeTailandia #TurismoResponsable #CrecimientoConConciencia","Andrea López","andrea.lopez.vel","https://www.instagram.com/p/DVHbbJTEiH3/","3","","42","2026-02-23T21:48:17.000Z",,"SantuarioÉtico","ElefantesDeTailandia","TurismoResponsable","CrecimientoConConciencia",,,,,,,,,,,,,,,,,,,,,,,,,
"¡Cuidar nuestras áreas naturales es tarea de todas y todos! 💚

Durante tu visita a Oaxaca, recuerda que prevenir incendios forestales es fundamental para conservar nuestros paisajes. 

¡Disfruta con respeto y ayúdanos a proteger nuestra biodiversidad! 🌳✨

#Oaxaca #TierraOrgullosaDeSusRaíces #TurismoResponsable","Secretaría de Turismo del Estado de Oaxaca","secturoaxaca","https://www.instagram.com/p/DVHbEFPDJLZ/","0","","3","2026-02-23T21:45:09.000Z",,"Oaxaca","TierraOrgullosaDeSusRaíces","TurismoResponsable",,,,,,,,,,,,,,,,,,,,,,,,,,
